brandId,brandName,aliases,categoryId,logo,luxuryLevel,rankingWeight,brandStatus,originCountryId
yuan,阿原YUAN,[],home-lifestyle,,lifestyle,50,active,
nitori,NITORI 宜得利,[],home-lifestyle,,lifestyle,50,active,
muc-muc,慕可慕客MUC MUC,[],home-lifestyle,,lifestyle,50,active,
housuxi,HOUSUXI 舒希,[],home-lifestyle,,lifestyle,50,active,
brand-c80fec4d8155,星紅織品,[],home-lifestyle,,lifestyle,50,active,
check-2-check,CHECK 2 CHECK,[],home-lifestyle,,lifestyle,50,active,
brand-eeeebf9a38ad,朵莉絲行李箱,[],home-lifestyle,,lifestyle,50,active,
vecs-gardenia,VECS Gardenia,[],home-lifestyle,,lifestyle,50,active,
les-enphants,les enphants,[],kids,,fashion,50,active,
mamas-and-papas,Mamas&Papas,[],kids,,fashion,50,active,
rookie,Rookie,[],kids,,fashion,50,active,
akachan-honpo,akachan honpo,[],kids,,fashion,50,active,
baby-city,Baby City,[],kids,,fashion,50,active,
markey-s,MARKEY'S,[],kids,,fashion,50,active,
brand-5b7dcd1df841,抱抱羊,[],kids,,fashion,50,active,
designer-fragrances-and-cosmetic-co,Designer Fragrances＆Cosmetic Co,[],fashion,,fashion,50,active,
lorya,LORYA,[],fashion,,fashion,50,active,
toy-select,TOY SELECT,[],fashion,,fashion,50,active,
kinloch-anderson,金安德森皮件-Ⅰ館 2F 室內區 Gozo前,[],fashion,,fashion,50,active,
fraas,FRAAS,[],fashion,,fashion,50,active,
dalla,Dalla,[],fashion,,fashion,50,active,
scent-of-seoul,scent of seoul,[],fashion,,fashion,50,active,
maybee,MayBee充棉娃娃,[],fashion,,fashion,50,active,
innisfree,INNISFREE,[],fashion,,fashion,50,active,
g-shock,G-Shock,[],jewelry-watches,,fashion,50,active,
formosa-watch,Formosa Watch,[],jewelry-watches,,fashion,50,active,
just-gold,Just Gold,[],jewelry-watches,,fashion,50,active,
vacanza-accessory,vacanza accessory,[],jewelry-watches,,fashion,50,active,
finiss-x-ilco,FINISS x ILCO,[],jewelry-watches,,fashion,50,active,
bonny-and-read,BONNY & READ,[],jewelry-watches,,fashion,50,active,
brand-fugetsu,Brand楓月,[],jewelry-watches,,fashion,50,active,
brand-91d2a485325d,今生金飾,[],jewelry-watches,,fashion,50,active,
bandai,Bandai,[],kids,,fashion,50,active,
funbox,Funbox,[],kids,,fashion,50,active,
gashapon,GASHAPON,[],kids,,fashion,50,active,
tomods,Tomod’s,[],home-lifestyle,,lifestyle,50,active,
mia-c-bon,Mia C'bon,[],home-lifestyle,,lifestyle,50,active,
eslite,誠品書店/誠品生活,[],home-lifestyle,,lifestyle,50,active,
eslite-expo,誠品生活 expo,[],home-lifestyle,,lifestyle,50,active,
osim,OSIM,[],home-lifestyle,,lifestyle,50,active,
data-express,德誼數位 Apple,[],home-lifestyle,,lifestyle,50,active,
brand-ea2c8807030a,友士,[],home-lifestyle,,lifestyle,50,active,
toys-r-us,玩具反斗城,[],home-lifestyle,,lifestyle,50,active,
pop-toys,POP TOYS,[],home-lifestyle,,lifestyle,50,active,
brand-0a25b68cb728,新各界家電生活館,[],home-lifestyle,,lifestyle,50,active,
volvo,Volvo,[],home-lifestyle,,lifestyle,50,active,
jinghua,JINGHUA,[],home-lifestyle,,lifestyle,50,active,
7-eleven,7-ELEVEN,[],home-lifestyle,,lifestyle,50,active,
a,A+,[],home-lifestyle,,lifestyle,50,active,
bulova,Bulova,[],jewelry-watches,,fashion,50,active,
camilla,Camilla,[],fashion,,fashion,50,active,
primark,Primark,[],fashion,,fashion,50,active,
primicia-luggage,Primicia Luggage,[],shoes-bags,,fashion,50,active,
vitamin-world,Vitamin World,[],home-lifestyle,,lifestyle,50,active,
aerie,Aerie,[],fashion,,fashion,50,active,
bloomingdales,Bloomingdale's - The,[],fashion,,fashion,50,active,
ella-sfpo,Ella SFPO,[],fashion,,fashion,50,active,
finish-line,Finish Line,[],sportswear,,sports,50,active,
forever-drip-d,Forever Drip'd,[],home-lifestyle,,lifestyle,50,active,
inspire-shoes,Inspire Shoes,[],shoes-bags,,fashion,50,active,
la-fragancia,La Fragancia,[],beauty,,fashion,50,active,
nokwal,Nokwal,[],fashion,,fashion,50,active,
perfume-de-paris,Perfume De Paris,[],beauty,,fashion,50,active,
sephora,Sephora,[],beauty,,fashion,50,active,
